"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count","database","background","foreground_genes_tested","background_genes_tested","ontology","pathway_theme","pathway_scope"
"GO:0005694","chromosome","26/334","29/885",0.896551724137931,2.3755936403056,5.8610556153467,5.43046705825836e-09,6.8617830186136e-07,6.8617830186136e-07,"LOC126282271/LOC126272743/LOC126278346/LOC126354268/LOC126334768/LOC126355755/LOC126359832/LOC126272375/LOC126272525/LOC126285335/LOC126272470/LOC126320492/LOC126335346/LOC126267081/LOC126335501/LOC126272178/LOC126334907/LOC126266746/LOC126278608/LOC126335359/LOC126354501/LOC126347975/LOC126361620/LOC126335481/LOC126284632/LOC126284276",26,"GO","All fat body DEGs in heatmap",334,885,"Cellular component",NA,NA
"GO:0043228","membraneless organelle","48/334","69/885",0.695652173913043,1.84326998177558,5.67635663187064,2.40006436712334e-08,2.65357116590074e-06,2.65357116590074e-06,"LOC126282271/LOC126272743/LOC126278524/LOC126278346/LOC126282371/LOC126354268/LOC126334768/LOC126267997/LOC126284006/LOC126355755/LOC126359832/LOC126272375/LOC126272525/LOC126278434/LOC126285335/LOC126272470/LOC126320492/LOC126342297/LOC126334614/LOC126335346/LOC126267081/LOC126335501/LOC126272178/LOC126334907/LOC126279120/LOC126266746/LOC126267242/LOC126267952/LOC126278608/LOC126273198/LOC126272312/LOC126354668/LOC126335359/LOC126353951/LOC126354648/LOC126292199/LOC126354501/LOC126347975/LOC126361189/LOC126361620/LOC126273149/LOC126281171/LOC126336939/LOC126335481/LOC126336809/LOC126284632/LOC126284276/LOC126284413",48,"GO","All fat body DEGs in heatmap",334,885,"Cellular component",NA,NA
"GO:0043232","intracellular membraneless organelle","48/334","69/885",0.695652173913043,1.84326998177558,5.67635663187064,2.40006436712334e-08,2.65357116590074e-06,2.65357116590074e-06,"LOC126282271/LOC126272743/LOC126278524/LOC126278346/LOC126282371/LOC126354268/LOC126334768/LOC126267997/LOC126284006/LOC126355755/LOC126359832/LOC126272375/LOC126272525/LOC126278434/LOC126285335/LOC126272470/LOC126320492/LOC126342297/LOC126334614/LOC126335346/LOC126267081/LOC126335501/LOC126272178/LOC126334907/LOC126279120/LOC126266746/LOC126267242/LOC126267952/LOC126278608/LOC126273198/LOC126272312/LOC126354668/LOC126335359/LOC126353951/LOC126354648/LOC126292199/LOC126354501/LOC126347975/LOC126361189/LOC126361620/LOC126273149/LOC126281171/LOC126336939/LOC126335481/LOC126336809/LOC126284632/LOC126284276/LOC126284413",48,"GO","All fat body DEGs in heatmap",334,885,"Cellular component",NA,NA
"GO:0000280","nuclear division","23/334","26/885",0.884615384615385,2.3439659143252,5.41254989446757,8.26342828388233e-08,7.69368664957255e-06,7.69368664957255e-06,"LOC126272743/LOC126278524/LOC126278346/LOC126282371/LOC126354268/LOC126334768/LOC126284006/LOC126355755/LOC126272375/LOC126272470/LOC126334614/LOC126335346/LOC126335501/LOC126272178/LOC126334907/LOC126279120/LOC126266746/LOC126267242/LOC126272312/LOC126354501/LOC126347975/LOC126273149/LOC126337018",23,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0048285","organelle fission","23/334","26/885",0.884615384615385,2.3439659143252,5.41254989446757,8.26342828388233e-08,7.69368664957255e-06,7.69368664957255e-06,"LOC126272743/LOC126278524/LOC126278346/LOC126282371/LOC126354268/LOC126334768/LOC126284006/LOC126355755/LOC126272375/LOC126272470/LOC126334614/LOC126335346/LOC126335501/LOC126272178/LOC126334907/LOC126279120/LOC126266746/LOC126267242/LOC126272312/LOC126354501/LOC126347975/LOC126273149/LOC126337018",23,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0006996","organelle organization","59/334","96/885",0.614583333333333,1.62846182634731,5.07457393663996,5.24871148253e-07,4.42141457742646e-05,4.42141457742646e-05,"LOC126282271/LOC126354819/LOC126272743/LOC126272438/LOC126297585/LOC126278524/LOC126278346/LOC126282371/LOC126354268/LOC126282270/LOC126334768/LOC126354850/LOC126267997/LOC126284006/LOC126355755/LOC126272375/LOC126272470/LOC126320492/LOC126285438/LOC126353994/LOC126346953/LOC126334614/LOC126335346/LOC126335501/LOC126281778/LOC126272178/LOC126334907/LOC126279120/LOC126266746/LOC126267242/LOC126272402/LOC126278940/LOC126276381/LOC126272256/LOC126278037/LOC126298660/LOC126273198/LOC126272312/LOC126354668/LOC126349792/LOC126353951/LOC126284310/LOC126292199/LOC126354501/LOC126347975/LOC126354218/LOC126271871/LOC126326589/LOC126273149/LOC126336939/LOC126336809/LOC126279052/LOC126337018/LOC126334906/LOC126284276/LOC126284030/LOC126267118/LOC126298596/LOC126284413",59,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0000226","microtubule cytoskeleton organization","22/334","26/885",0.846153846153846,2.2420543528328,5.00212176863398,8.5963341997451e-07,6.9122341815223e-05,6.9122341815223e-05,"LOC126297585/LOC126278346/LOC126282371/LOC126334768/LOC126267997/LOC126355755/LOC126334614/LOC126335501/LOC126279120/LOC126266746/LOC126267242/LOC126278940/LOC126278037/LOC126272312/LOC126284310/LOC126292199/LOC126347975/LOC126354218/LOC126273149/LOC126336939/LOC126284030/LOC126284413",22,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0031974","membrane-enclosed lumen","28/334","37/885",0.756756756756757,2.00517883152614,4.86037564995703,1.86805090822383e-06,0.000132183282265918,0.000132183282265918,"LOC126282271/LOC126354268/LOC126334768/LOC126355755/LOC126359832/LOC126272525/LOC126336251/LOC126285335/LOC126272470/LOC126320492/LOC126298770/LOC126267081/LOC126267166/LOC126272178/LOC126278608/LOC126322655/LOC126354668/LOC126335359/LOC126299116/LOC126349792/LOC126354648/LOC126299222/LOC126354501/LOC126299549/LOC126298865/LOC126335481/LOC126281446/LOC126284276",28,"GO","All fat body DEGs in heatmap",334,885,"Cellular component",NA,NA
"GO:0043233","organelle lumen","28/334","37/885",0.756756756756757,2.00517883152614,4.86037564995703,1.86805090822383e-06,0.000132183282265918,0.000132183282265918,"LOC126282271/LOC126354268/LOC126334768/LOC126355755/LOC126359832/LOC126272525/LOC126336251/LOC126285335/LOC126272470/LOC126320492/LOC126298770/LOC126267081/LOC126267166/LOC126272178/LOC126278608/LOC126322655/LOC126354668/LOC126335359/LOC126299116/LOC126349792/LOC126354648/LOC126299222/LOC126354501/LOC126299549/LOC126298865/LOC126335481/LOC126281446/LOC126284276",28,"GO","All fat body DEGs in heatmap",334,885,"Cellular component",NA,NA
"GO:0070013","intracellular organelle lumen","28/334","37/885",0.756756756756757,2.00517883152614,4.86037564995703,1.86805090822383e-06,0.000132183282265918,0.000132183282265918,"LOC126282271/LOC126354268/LOC126334768/LOC126355755/LOC126359832/LOC126272525/LOC126336251/LOC126285335/LOC126272470/LOC126320492/LOC126298770/LOC126267081/LOC126267166/LOC126272178/LOC126278608/LOC126322655/LOC126354668/LOC126335359/LOC126299116/LOC126349792/LOC126354648/LOC126299222/LOC126354501/LOC126299549/LOC126298865/LOC126335481/LOC126281446/LOC126284276",28,"GO","All fat body DEGs in heatmap",334,885,"Cellular component",NA,NA
"GO:0006259","DNA metabolic process","19/334","22/885",0.863636363636364,2.2883777898748,4.76181740983627,2.83482354919434e-06,0.000185733439204622,0.000185733439204622,"LOC126272438/LOC126282371/LOC126354268/LOC126355755/LOC126359832/LOC126272375/LOC126285335/LOC126320492/LOC126267081/LOC126279120/LOC126267242/LOC126278608/LOC126335359/LOC126335481/LOC126285408/LOC126298976/LOC126284632/LOC126293483/LOC126284030",19,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:1903046","meiotic cell cycle process","19/334","22/885",0.863636363636364,2.2883777898748,4.76181740983627,2.83482354919434e-06,0.000185733439204622,0.000185733439204622,"LOC126278524/LOC126278346/LOC126282371/LOC126284006/LOC126272375/LOC126272470/LOC126334614/LOC126335501/LOC126272178/LOC126279120/LOC126266746/LOC126267242/LOC126272312/LOC126354501/LOC126347975/LOC126326589/LOC126273149/LOC126337018/LOC126284413",19,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0031981","nuclear lumen","20/334","24/885",0.833333333333333,2.20808383233533,4.66900870739115,4.65200265165314e-06,0.000293906881813371,0.000293906881813371,"LOC126282271/LOC126354268/LOC126334768/LOC126355755/LOC126359832/LOC126272525/LOC126285335/LOC126272470/LOC126320492/LOC126267081/LOC126272178/LOC126278608/LOC126322655/LOC126354668/LOC126335359/LOC126354648/LOC126299222/LOC126354501/LOC126335481/LOC126284276",20,"GO","All fat body DEGs in heatmap",334,885,"Cellular component",NA,NA
"GO:0051276","chromosome organization","24/334","31/885",0.774193548387097,2.05138110875024,4.63698453424886,5.52111299674938e-06,0.000336787892801712,0.000336787892801712,"LOC126282271/LOC126272743/LOC126272438/LOC126282371/LOC126354268/LOC126334768/LOC126284006/LOC126355755/LOC126272470/LOC126320492/LOC126335346/LOC126335501/LOC126281778/LOC126272178/LOC126334907/LOC126279120/LOC126266746/LOC126354668/LOC126349792/LOC126354501/LOC126347975/LOC126326589/LOC126284276/LOC126284413",24,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0098813","nuclear chromosome segregation","16/334","18/885",0.888888888888889,2.35528942115769,4.52045675288658,8.86562770753578e-06,0.000505912755310671,0.000505912755310671,"LOC126272743/LOC126278346/LOC126354268/LOC126334768/LOC126355755/LOC126272470/LOC126334614/LOC126335346/LOC126335501/LOC126272178/LOC126334907/LOC126266746/LOC126267242/LOC126354501/LOC126347975/LOC126273149",16,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0140013","meiotic nuclear division","16/334","18/885",0.888888888888889,2.35528942115769,4.52045675288658,8.86562770753578e-06,0.000505912755310671,0.000505912755310671,"LOC126278524/LOC126278346/LOC126282371/LOC126284006/LOC126272375/LOC126272470/LOC126334614/LOC126335501/LOC126272178/LOC126279120/LOC126266746/LOC126267242/LOC126272312/LOC126347975/LOC126273149/LOC126337018",16,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0051301","cell division","22/334","28/885",0.785714285714286,2.08190761334474,4.5269150845327,9.2709430546948e-06,0.000512509320742347,0.000512509320742347,"LOC126272743/LOC126278524/LOC126278346/LOC126282371/LOC126334768/LOC126267997/LOC126284006/LOC126342297/LOC126334614/LOC126335501/LOC126334907/LOC126279120/LOC126266746/LOC126267242/LOC126272312/LOC126347975/LOC126334946/LOC126354218/LOC126267315/LOC126337018/LOC126284276/LOC126284413",22,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
"GO:0051321","meiotic cell cycle","19/334","23/885",0.826086956521739,2.1888831033585,4.49544828948959,1.06730535571138e-05,0.000572140355834372,0.000572140355834372,"LOC126278524/LOC126278346/LOC126282371/LOC126284006/LOC126272375/LOC126272470/LOC126334614/LOC126335501/LOC126272178/LOC126279120/LOC126266746/LOC126267242/LOC126272312/LOC126354501/LOC126347975/LOC126326589/LOC126273149/LOC126337018/LOC126284413",19,"GO","All fat body DEGs in heatmap",334,885,"Biological process",NA,NA
